NOM COMPLET,CODE FVF,INDIC_ZH
Ranunculus aconitifolius L.,116902,Oui
Ranunculus alpestris L.,116917,Oui
Ranunculus angustifolius DC.,116922,Oui
Ranunculus baudotii Godr.,116941,Oui
Ranunculus cassubicus L.,116970,Oui
Ranunculus flammula L.,117025,Oui
Ranunculus lateriflorus DC.,117090,Oui
Ranunculus lingua L.,117096,Oui
Ranunculus marschlinsii Steud.,117111,Oui
Ranunculus muricatus L.,117128,Oui
Ranunculus nodiflorus L.,117139,Oui
Ranunculus ololeucos J. Lloyd.,117144,Oui
Ranunculus omiophyllus Ten.,117145,Oui
Ranunculus ophioglossifolius Vill.,117146,Oui
Ranunculus repens L.,117201,Oui
Ranunculus reptans L.,117203,Oui
Ranunculus revelieri Boreau.,117205,Oui
Ranunculus rionii Lagger.,117211,Oui
Ranunculus sardous Crantz.,117221,Oui
Ranunculus sceleratus L.,117224,Oui
Ranunculus velutinus Ten.,117268,Oui
Rhynchospora alba (L.) Vahl.,117731,Oui
Rhynchospora fusca (L.) W. T. Aiton.,117732,Oui
Ribes nigrum L.,117766,Oui
Ribes rubrum L.,117774,Oui
Romulea revelieri Jord. & Fourr.,117920,Oui
Rorippa amphibia (L.) Besser.,117933,Oui
Rorippa austriaca (Crantz) Besser.,117937,Oui
Rorippa islandica (Œder ex-Gunnerus) Borbás.,117940,Oui
Rorippa palustris (L.) Besser.,117944,Oui
Rorippa sylvestris (L.) Besser.,117951,Oui
Rubus caesius L.,118993,Oui
Rumex aquaticus L.,119447,Oui
Rumex conglomeratus Murray.,119471,Oui
Rumex crispus L. subsp. uliginosus (Le Gall) Akeroyd.,140364,Oui
Rumex hydrolapathum Huds.,119509,Oui
Rumex maritimus L.,119533,Oui
Rumex palustris Sm.,119556,Oui
Rumex rupestris Le Gall.,119582,Oui
Rumex sanguineus L.,119585,Oui
Ruppia cirrhosa (Petagna) Grande.,119688,Oui
Ruppia maritima L.,119691,Oui
Sagina nodosa (L.) Fenzl.,119812,Oui
Sagina revelieri Jord. & Fourr.,119824,Oui
Sagina subulata (Sw.) C. Presl.,119831,Oui
Sagittaria latifolia Willd.,119854,Oui
Sagittaria sagittifolia L.,119860,Oui
Salicornia appressa Dumort.,119876,Oui
Salicornia disarticulata Moss.,119878,Oui
Salicornia emericii Duval-Jouve.,119880,Oui
Salicornia europaea L.,119881,Oui
Salicornia obscura P. W. Ball & Tutin.,119889,Oui
Salicornia patula Duval-Jouve.,119891,Oui
Salicornia procumbens Sm.,119894,Oui
Salicornia pusilla J. Woods.,119896,Oui
Salix acuminata Mill.,119910,Oui
Salix alba L.,119915,Oui
Salix apennina A. K. Skvortsov.,119931,Oui
Salix arenaria L.,119940,Oui
Salix aurita L.,119952,Oui
Salix bicolor Willd.,119959,Oui
Salix caesia Vill.,119970,Oui
Salix ceretana (P. Monts.) Chmelar.,119985,Oui
Salix cinerea L.,119991,Oui
Salix daphnoides Vill.,120009,Oui
Salix foetida Schleich. ex-DC.,120037,Oui
Salix fragilis L.,120040,Oui
Salix hastata L.,120052,Oui
Salix herbacea L.,120057,Oui
Salix laggeri Wimm.,120085,Oui
Salix lapponum L.,120091,Oui
Salix myrsinifolia Salisb.,120135,Oui
Salix pentandra L.,120163,Oui
Salix purpurea L.,120189,Oui
Salix repens L. subsp. repens.,140478,Oui
Salix triandra L.,120246,Oui
Salix viminalis L.,120260,Oui
Salsola soda L.,120608,Oui
Samolus valerandi L.,120732,Oui
Sanguisorba officinalis L.,120758,Oui
Sarcocornia fruticosa (L.) A. J. Scott.,120842,Oui
Sarcocornia perennis (Mill.) A. J. Scott.,120843,Oui
Sarracenia purpurea L.,120875,Oui
Saxifraga aizoides L.,120965,Oui
Saxifraga androsacea L.,120973,Oui
Saxifraga aquatica Lapeyr.,120976,Oui
Saxifraga clusii Gouan.,121011,Oui
Saxifraga hirculus L.,121076,Oui
Saxifraga praetermissa D. A. Webb.,121154,Oui
Saxifraga stellaris L.,121190,Oui
Scheuchzeria palustris L.,121500,Oui
Schoenoplectus lacustris (L.) Palla.,121549,Oui
Schoenoplectus litoralis (Schrad.) Palla.,121550,Oui
Schoenoplectus mucronatus (L.) Palla.,121552,Oui
Schoenoplectus pungens (Vahl) Palla.,121553,Oui
Schoenoplectus supinus (L.) Palla.,121554,Oui
Schoenoplectus tabernaemontani (C. C. Gmel.) Palla.,121555,Oui
Schoenoplectus triqueter (L.) Palla.,121556,Oui
Schoenus ferrugineus L.,121570,Oui
Schoenus nigricans L.,121581,Oui
Scirpoides holoschoenus (L.) Soják.,121673,Oui
Scirpoides romanus (L.) Soják.,121674,Oui
Scirpus sylvaticus L.,121792,Oui
Scorzonera humilis L.,121960,Oui
Scorzonera parviflora Jacq.,121971,Oui
Scrophularia auriculata Loefl. ex-L.,121999,Oui
Scrophularia umbrosa Dumort.,122058,Oui
Scutellaria columnae All.,122065,Oui
Scutellaria galericulata L.,122069,Oui
Scutellaria hastifolia L.,122070,Oui
Scutellaria minor Huds.,122073,Oui
Sedum villosum L.,122281,Oui
Selinum broteri Hoffmanns. & Link.,122326,Oui
Selinum carvifolia (L.) L.,122329,Oui
Senecio aquaticus Hill.,159831,Oui
Senecio cacaliaster Lam.,122563,Oui
Senecio doria L.,122592,Oui
Senecio erraticus Bertol.,122595,Oui
Senecio paludosus L.,122678,Oui
Serratula tinctoria L. subsp. tinctoria.,141028,Oui
Sibthorpia europaea L.,123179,Oui
Silaum silaus (L.) Schinz & Thell.,123367,Oui
Silene flos-cuculi (L.) Clairv.,123481,Oui
Sisymbrella aspera (L.) Spach.,123789,Oui
Sisyrinchium angustifolium Mill.,123926,Oui
Sisyrinchium montanum Greene.,123933,Oui
Sium latifolium L.,123960,Oui
Solanum dulcamara L.,124034,Oui
Soldanella alpina L.,124139,Oui
Soldanella villosa Darracq ex-Labarrère.,124144,Oui
Soleirolia soleirolii (Req.) Dandy.,124147,Oui
Solenopsis laurentia (L.) C. Presl.,124150,Oui
Solenopsis minuta (L.) C. Presl subsp. corsica Meikle.,141287,Oui
Sonchus aquatilis Pourr.,124231,Oui
Sonchus maritimus L.,124256,Oui
Sonchus palustris L.,124264,Oui
Sparganium angustifolium Michx.,124405,Oui
Sparganium borderei Focke.,124406,Oui
Sparganium emersum Rehmann.,124407,Oui
Sparganium erectum L.,124408,Oui
Sparganium natans L.,124412,Oui
Spartina alterniflora Loisel.,124424,Oui
Spartina maritima (Curtis) Fernald.,124431,Oui
Spartina versicolor Fabre.,124435,Oui
Spartina x townsendii H. Groves & J. Groves.,124439,Oui
Spergularia media (L.) C. Presl.,124572,Oui
Spergularia salina J. & C. Presl.,124581,Oui
Spiranthes aestivalis (Poir.) Rich.,124699,Oui
Stachys palustris L.,124798,Oui
Stellaria alsine Grimm.,124967,Oui
Stellaria nemorum L.,125021,Oui
Stellaria palustris Hoffm.,125024,Oui
Suaeda maritima (L.) Dumort.,125259,Oui
Suaeda splendens (Pourr.) Gren.,125262,Oui
Suaeda vera J. F. Gmel.,125263,Oui
Subularia aquatica L.,125264,Oui
Succisa pratensis Moench.,125295,Oui
Succisella inflexa (Kluk) Beck.,125310,Oui
Swertia perennis L.,125319,Oui
Symphytum officinale L.,125355,Oui
Taraxacum corsicum Soest.,125554,Oui
Taraxacum palustre (Lyons) Symons.,125686,Oui
Tephroseris palustris (L.) Fourr.,125899,Oui
Teucrium aristatum Perez Lara.,125970,Oui
Teucrium scordium L.,126034,Oui
Thalictrum flavum L.,126124,Oui
Thalictrum lucidum L.,126150,Oui
Thalictrum morisonii C. C. Gmel.,126167,Oui
Thelypteris palustris Schott.,126276,Oui
Thysselinum lancifolium (Hoffmanns. & Link) Calest.,126613,Oui
Thysselinum palustre (L.) Hoffm.,126615,Oui
Tofieldia calyculata (L.) Wahlenb.,126798,Oui
Tofieldia pusilla (Michx.) Pers.,126806,Oui
Tozzia alpina L.,126925,Oui
Trichophorum alpinum (L.) Pers.,127191,Oui
Trichophorum cespitosum (L.) Hartm.,127193,Oui
Trichophorum pumilum (Vahl) Schinz & Thell.,127195,Oui
Trifolium maritimum Huds.,127379,Oui
Trifolium michelianum Savi.,127386,Oui
Trifolium ornithopodioides L.,127416,Oui
Trifolium patens Schreb.,127429,Oui
Trifolium spadiceum L.,127482,Oui
Trifolium vesiculosum Savi.,127514,Oui
Triglochin bulbosum L.,127539,Oui
Triglochin maritimum L.,127546,Oui
Triglochin palustre L.,127547,Oui
Trollius europaeus L.,127872,Oui
Typha angustifolia L.,128062,Oui
Typha domingensis (Pers.) Steud.,128066,Oui
Typha latifolia L.,128077,Oui
Typha laxmannii Lepech.,128078,Oui
Typha minima Funck.,128084,Oui
Typha shuttleworthii W. D. J. Koch & Sond.,128091,Oui
Ulmus laevis Pall.,128171,Oui
Utricularia bremii Heer ex-Köll.,128308,Oui
Utricularia intermedia Hayne.,128311,Oui
Utricularia minor L.,128315,Oui
Utricularia ochroleuca R. W. Hartm.,128318,Oui
Vaccinium microcarpum (Turcz. ex-Rupr.) Schmalh.,128343,Oui
Vaccinium oxycoccos L.,128347,Oui
Vaccinium uliginosum L. subsp. uliginosum.,142048,Oui
Valeriana dioica L.,128394,Oui
Valeriana officinalis L. subsp. repens (Host) O. Bolos & Vigo.,142069,Oui
Valeriana pyrenaica L.,128428,Oui
Veronica anagallis-aquatica L.,128792,Oui
Veronica anagalloides Guss.,128793,Oui
Veronica beccabunga L.,128808,Oui
Veronica catenata Pennell.,128829,Oui
Veronica ponae Gouan.,128969,Oui
Veronica scutellata L.,129000,Oui
Viola biflora L.,129520,Oui
Viola canina L. subsp. schultzii (Billot) Döll.,142318,Oui
Viola elatior Fr.,129557,Oui
Viola palustris L.,129639,Oui
Viola persicifolia Schreb.,129643,Oui
Viola pumila Chaix.,129660,Oui
Vitex agnus-castus L.,129914,Oui
Vitis vinifera L. subsp. sylvestris (C. C. Gmel.) Hegi.,142451,Oui
Wahlenbergia hederacea (L.) Rchb.,130065,Oui
Woodwardia radicans (L.) Sm.,130133,Oui
