NOM COMPLET,CODE FVF,INDIC_ZH
Carex pseudocyperus L.,88794,Oui
Carex pulicaris L.,88802,Oui
Carex punctata Gaudin.,88804,Oui
Carex pyrenaica Wahlenb.,88806,Oui
Carex remota L.,88819,Oui
Carex riparia Curtis.,88833,Oui
Carex rostrata Stokes.,88840,Oui
Carex strigosa Huds.,88893,Oui
Carex trinervis Degl. ex-Loisel.,88921,Oui
Carex umbrosa Host subsp. huetiana (Boiss.) Soó.,132823,Oui
Carex vesicaria L.,88942,Oui
Carex viridula Michx. subsp. brachyrrhyncha (Celak.) B. Schmid.,132826,Oui
Carex viridula Michx. subsp. oedocarpa (Andersson) B. Schmid.,132829,Oui
Carex viridula Michx. subsp. viridula.,132832,Oui
Carex vulpina L.,88952,Oui
Carex vulpinoidea Michx.,88956,Oui
Caropsis verticillatinundata (Thore) Rauschert.,89191,Oui
Carum verticillatum (L.) W. D. J. Koch.,89264,Oui
Catabrosa aquatica (L.) P. Beauv.,89316,Oui
Centaurea dracunculifolia Dufour.,89584,Oui
Centaurium chloodes (Brot.) Samp.,89837,Oui
Centaurium favargeri Zeltner.,89841,Oui
Centaurium littorale (Turner) Gilmour.,89845,Oui
Centaurium spicatum (L.) Fritsch.,89856,Oui
Centaurium tenuiflorum (Hoffmanns. & Link) Fritsch.,89858,Oui
Cerastium cerastoides (L.) Britton.,89986,Oui
Cerastium dubium (Bastard) Guépin.,89999,Oui
Chaerophyllum bulbosum L.,90330,Oui
Chaerophyllum hirsutum L.,90338,Oui
Chenopodium chenopodioides (L.) Aellen.,90711,Oui
Chenopodium rubrum L.,90801,Oui
Chrysosplenium alternifolium L.,91118,Oui
Chrysosplenium oppositifolium L.,91120,Oui
Cicendia filiformis (L.) Delarbre.,91132,Oui
Cicuta virosa L.,91199,Oui
Circaea alpina L.,91256,Oui
Circaea x intermedia Ehrh.,91267,Oui
Cirsium carniolicum Scop. subsp. rufescens (Ramond ex-DC.) P. Fourn.,133309,Oui
Cirsium creticum (Lam.) D'Urv. subsp. triumfetti (Lacaita) Werner.,133311,Oui
Cirsium dissectum (L.) Hill.,91322,Oui
Cirsium filipendulum Lange.,91332,Oui
Cirsium heterophyllum (L.) Hill.,91346,Oui
Cirsium monspessulanum (L.) Hill.,91369,Oui
Cirsium montanum (Waldst. & Kit. ex-Willd.) Spreng.,91371,Oui
Cirsium oleraceum (L.) Scop.,91378,Oui
Cirsium palustre (L.) Scop.,91382,Oui
Cirsium rivulare (Jacq.) All.,91398,Oui
Cladium mariscus (L.) Pohl.,91823,Oui
Cochlearia aestuaria (J. Lloyd) Heywood.,92026,Oui
Cochlearia anglica L.,92029,Oui
Cochlearia glastifolia L.,92042,Oui
Cochlearia officinalis L.,92052,Oui
Cochlearia pyrenaica DC.,92054,Oui
Colchicum arenasii Fridl.,159903,Oui
Coleanthus subtilis (Tratt.) Seidl.,92171,Oui
Corrigiola littoralis L.,92566,Oui
Cotula coronopifolia L.,92723,Oui
Crassula helmsii (Kirk) Cockayne.,92793,Oui
Crassula vaillantii (Willd.) Roth.,92807,Oui
Crepis lampsanoides (Gouan) Tausch.,93075,Oui
Crepis paludosa (L.) Moench.,93101,Oui
Crepis pyrenaica (L.) Greuter.,93116,Oui
Cressa cretica L.,93171,Oui
Crypsis aculeata (L.) Aiton.,93454,Oui
Crypsis alopecuroides (Piller & Mitterp.) Schrad.,93456,Oui
Crypsis schoenoides (L.) Lam.,93463,Oui
Cuscuta scandens Brot. subsp. cesatiana (Bertol.) Soó.,133577,Oui
Cymodocea nodosa (Ucria) Asch.,93774,Oui
Cyperus difformis L.,93918,Oui
Cyperus eragrostis Lam.,93923,Oui
Cyperus esculentus L.,93924,Oui
Cyperus fuscus L.,93936,Oui
Cyperus glomeratus L.,93938,Oui
Cyperus involucratus Rottb.,93954,Oui
Cyperus longus L.,93967,Oui
Cyperus michelianus (L.) Link.,93973,Oui
Cystopteris diaphana (Bory) Blasdell.,94062,Oui
Dactylorhiza alpestris (Pugsley) Aver.,94242,Oui
Dactylorhiza angustata (Arv.-Touv.) D. Tyteca & Gathoye.,94243,Oui
Dactylorhiza brennensis (E. Nelson) D. Tyteca & Gathoye.,94247,Oui
Dactylorhiza cruenta (O.F. Mull.) Soó.,94249,Oui
Dactylorhiza elata (Poir.) Soó.,94252,Oui
Dactylorhiza fistulosa (Moench) Baumann & Künkele.,94255,Oui
Dactylorhiza incarnata (L.) Soó.,94259,Oui
Dactylorhiza maculata (L.) Soó.,94266,Oui
"Dactylorhiza occitanica Geniez, Melki, Pain & R. Soca.",94270,Oui
Dactylorhiza praetermissa (Druce) Soó.,94273,Oui
Dactylorhiza saccifera (Brongn.) Soó.,94278,Oui
Dactylorhiza traunsteineri (Saut.) Soó.,94287,Oui
Damasonium alisma Mill.,94388,Oui
Delphinium dubium (Rouy & Foucaud) Pawl.,94578,Oui
